# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.799999999999999933e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 5.235527192062017322e+07 8.163964118035664796e+00
2.000000000000000000e+00 7.328000000000000069e-01 9.200000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.429540325278515339e+09 1.155363084400174678e+01
3.000000000000000000e+00 8.060000000000000497e-01 8.699999999999999956e-01 7.187000320000000000e+08 1.000000000000000000e+00 3.750000000000000000e-01 1.269021350458378553e+09 1.315599745814109767e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.500000000000000444e-01 2.272700000000000000e+08 5.000000000000000278e-02 5.750000000000000666e-01 5.749566340228615999e+08 2.146896345904973558e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.600000000000000533e-01 2.272700000000000000e+08 5.000000000000000278e-02 1.225000000000000089e+00 2.997961555500242233e+10 8.036531413968120985e-01
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 1.000000000000000000e+07 1.000000000000000000e+01 8.000000000000000444e-01 1.317302460503787354e+12 5.206545599541650660e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.799999999999999822e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 5.780497964464518547e+09 3.453886620264535168e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 1.278099970000000000e+09 1.000000000000000000e+01 1.425000000000000044e+00 5.633243318539772949e+11 4.905915393248476875e+01
9.000000000000000000e+00 6.163999999999999480e-01 6.099999999999999867e-01 2.025600000000000000e+08 5.000000000000000278e-02 8.750000000000000000e-01 1.408045221680249786e+10 1.681686405853266120e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.209999999999999964e+00 2.025600000000000000e+08 5.000000000000000278e-02 7.000000000000000666e-01 9.651314961679738998e+09 3.229560793141215669e+01
1.100000000000000000e+01 1.089299999999999935e+00 9.500000000000000666e-01 4.249999870000000000e+09 1.000000000000000000e+01 6.250000000000000000e-01 5.422612745906024170e+10 2.103520196107925599e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.320000000000000062e+00 8.064000000000000000e+08 1.000000000000000000e+01 3.500000000000000333e-01 5.063952091622853088e+10 1.415390918842160062e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.720000000000000195e+00 4.041500160000000000e+08 1.000000000000000000e+00 6.000000000000000888e-01 1.714189712114905167e+10 1.135410942996550787e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.000000000000000666e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.619151750064889193e+08 5.567689800640414077e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.050000000000000044e+00 9.047900160000000000e+08 1.000000000000000000e+00 6.250000000000000000e-01 1.212993184291532326e+10 1.641802334841373323e+01
1.600000000000000000e+01 7.375000000000000444e-01 7.399999999999999911e-01 1.278000000000000000e+08 5.000000000000000278e-02 8.000000000000000444e-01 9.622241509839278460e+08 1.968795850931410296e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.979999999999999982e+00 7.187000320000000000e+08 1.000000000000000000e+00 9.250000000000000444e-01 5.570239597642017365e+10 2.259618082276534778e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.800000000000000488e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 8.090076694438694715e+08 1.272515830288850580e+01
1.900000000000000000e+01 6.670000000000000373e-01 6.500000000000000222e-01 2.861200000000000000e+08 5.000000000000000278e-02 1.250000000000000000e+00 1.684618292160759926e+10 6.300866571000137029e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.100000000000000311e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.937350511722874045e+08 5.135088891482397599e+01
2.100000000000000000e+01 6.599000000000000421e-01 5.899999999999999689e-01 6.405400320000000000e+08 1.000000000000000000e+00 1.450000000000000178e+00 3.765083768189740753e+10 5.893326744833665920e+00
2.200000000000000000e+01 1.239999999999999991e-01 2.919999999999999929e+00 1.000000000000000000e+07 1.000000000000000000e+01 5.750000000000000666e-01 6.912462929641372070e+11 2.640925761236301383e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.780000000000000249e+00 1.609000000000000000e+08 5.000000000000000278e-02 6.000000000000000888e-01 1.084254284630907440e+10 1.865000074667883112e+01
2.400000000000000000e+01 2.371000000000000052e-01 4.100000000000000311e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 1.347765626235523939e+09 2.443914849675103529e+00
2.500000000000000000e+01 2.813999999999999835e-01 4.199999999999999845e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.511634439995861053e+08 2.140621516054118700e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.700000000000000400e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 1.882229318859574795e+09 2.845913695695277568e+01
2.700000000000000000e+01 1.048999999999999932e+00 1.070000000000000062e+00 5.750000130000000000e+09 1.000000000000000000e+01 1.050000000000000044e+00 1.004362762167585907e+11 1.294798262920890508e+01
2.800000000000000000e+01 3.071499999999999897e+00 3.129999999999999893e+00 2.272700000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 2.428462846771157455e+10 3.067738544212480534e+01
2.900000000000000000e+01 2.146000000000000130e-01 3.800000000000000044e-01 1.609000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.799985811925445199e+08 2.038361174490175287e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.280000000000000249e+00 1.609000000000000000e+08 5.000000000000000278e-02 6.250000000000000000e-01 9.096643923559621811e+09 7.613493430758110136e+00
3.100000000000000000e+01 6.749000000000000554e-01 5.999999999999999778e-01 6.405400320000000000e+08 5.000000000000000278e-02 1.125000000000000000e+00 4.453340737061162567e+10 2.790765260366684153e+00
3.200000000000000000e+01 8.396000000000000130e-01 9.100000000000000311e-01 1.434000000000000000e+08 5.000000000000000278e-02 6.000000000000000888e-01 3.093960584509202480e+09 6.414681065506923296e+00
3.300000000000000000e+01 1.090000000000000080e+00 1.010000000000000009e+00 2.600000000000000000e+09 1.000000000000000000e+01 9.250000000000000444e-01 5.207130746112809753e+10 1.566283609998142623e+01
3.400000000000000000e+01 1.088700000000000001e+00 1.030000000000000027e+00 2.272700000000000000e+08 5.000000000000000278e-02 1.425000000000000044e+00 7.785528108125115967e+10 1.506711420403438062e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.859999999999999876e+00 1.434000000000000000e+09 1.000000000000000000e+01 8.000000000000000444e-01 2.353645112744879456e+11 2.432974739158710520e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.189999999999999947e+00 7.187000320000000000e+08 1.000000000000000000e+01 6.750000000000000444e-01 1.917596631405393982e+11 2.242090272164902842e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.600000000000000200e-01 1.805300000000000000e+08 5.000000000000000278e-02 1.250000000000000000e+00 1.683449296451103783e+10 2.492560785850799654e+00
3.800000000000000000e+01 1.135000000000000009e+00 1.060000000000000053e+00 1.015200000000000000e+09 1.000000000000000000e+00 6.000000000000000888e-01 4.786099890064772606e+09 1.295746029262515542e+01
3.900000000000000000e+01 1.277000000000000079e-01 4.600000000000000200e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 3.490794333435610533e+08 2.873277542775725735e+01
4.000000000000000000e+01 6.250000000000000000e-01 2.770000000000000018e+00 2.600000000000000000e+09 1.000000000000000000e+00 1.500000000000000000e+00 2.325984648423850403e+11 1.006183925673883124e+02
4.100000000000000000e+01 1.350999999999999979e+00 1.360000000000000098e+00 7.187000320000000000e+08 1.000000000000000000e+00 3.500000000000000333e-01 4.604534852162550926e+09 9.688793788716358435e+00
4.200000000000000000e+01 2.416999999999999982e-01 3.900000000000000133e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 7.121863069404785335e+07 1.631895676588770527e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.600000000000000200e-01 1.805300000000000000e+08 5.000000000000000278e-02 6.500000000000000222e-01 1.531642699773025274e+09 1.261077759363356243e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.459999999999999964e+00 7.187000320000000000e+08 1.000000000000000000e+00 2.750000000000000222e-01 8.327453824417593002e+09 2.329568178585375549e+01
4.500000000000000000e+01 2.330000000000000127e-01 5.100000000000000089e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 5.875742675789569616e+08 2.212696278582087217e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.770000000000000018e+00 3.602000000000000000e+08 1.000000000000000000e+01 5.000000000000000278e-02 8.163066553710322571e+10 1.015382396795839703e+01
4.700000000000000000e+01 9.829999999999999849e-01 8.699999999999999956e-01 1.015200000000000000e+09 1.000000000000000000e+00 7.750000000000000222e-01 1.637506995130499649e+10 1.379866417945687829e+01
4.800000000000000000e+01 6.660000000000000364e-01 6.400000000000000133e-01 1.434000000000000000e+08 5.000000000000000278e-02 8.750000000000000000e-01 6.533300104116988182e+09 5.450764572687651466e+00
4.900000000000000000e+01 6.596999999999999531e-01 5.899999999999999689e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 8.699576800034761429e+08 1.168504361473739195e+01
5.000000000000000000e+01 7.329999999999999849e-01 7.099999999999999645e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.250000000000000222e-01 2.523932336007176876e+09 5.882135500529299676e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.510000000000000009e+00 1.608999940000000000e+09 1.000000000000000000e+01 1.425000000000000044e+00 7.727928306756988525e+11 6.708016400827935044e+00
5.200000000000000000e+01 7.329999999999999849e-01 2.419999999999999929e+00 1.000000000000000000e+07 1.000000000000000000e+01 1.025000000000000133e+00 6.743294117538015137e+11 3.014649438195129250e+01
5.300000000000000000e+01 6.600000000000000311e-01 6.400000000000000133e-01 2.272700000000000000e+08 1.000000000000000000e+00 1.375000000000000000e+00 8.993303575867012024e+10 9.851117564436883356e+00
5.400000000000000000e+01 2.765000000000000235e-01 2.200000000000000011e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.346008329867501371e+07 6.784916867543641317e+00
5.500000000000000000e+01 1.461000000000000076e+00 1.429999999999999938e+00 2.750000130000000000e+09 1.000000000000000000e+01 6.250000000000000000e-01 8.589307961282351685e+10 1.361001227905406630e+01
5.600000000000000000e+01 7.324000000000000510e-01 7.399999999999999911e-01 1.805300000000000000e+08 5.000000000000000278e-02 5.500000000000000444e-01 1.183056314316932440e+09 3.957474866943454295e+00
5.700000000000000000e+01 1.145999999999999908e+00 1.060000000000000053e+00 5.750000130000000000e+09 1.000000000000000000e+01 9.250000000000000444e-01 1.563234811640455017e+11 2.329765290925337951e+01
5.800000000000000000e+01 8.244000000000000217e-01 9.200000000000000400e-01 2.025600000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 1.149925207108467340e+09 8.881093906578968245e+00
5.900000000000000000e+01 1.036299999999999999e+00 9.899999999999999911e-01 1.139100030000000000e+09 1.000000000000000000e+00 5.250000000000000222e-01 1.981999470161610031e+10 7.941248887177112969e+00
6.000000000000000000e+01 2.542600000000000193e+00 2.780000000000000249e+00 8.064000000000000000e+08 1.000000000000000000e+01 7.000000000000000666e-01 2.007338556949892578e+11 2.815213690070548225e+01
